smiles,frequency,length
CCC(CC)C(=O)O,1,13
O=C1OCc2ccccc21,1,15
CCOC(=O)c1ccccc1N,1,17
CC(C)CCOC(=O)c1ccccc1O,1,22
CCC(=O)c1ccccc1,1,15
CCC(O)c1ccccc1,1,14
CC(C=O)c1ccccc1,1,15
COc1cc(C)ccc1O,1,14
C=CCc1ccc(OC(C)=O)c(OC)c1,1,25
CC(C)Cc1ccc2ccccc2n1,1,20
CCOc1ccc2ccccc2c1,1,17
C=CCc1ccc(OC)c(OC)c1,1,20
CC(=O)c1ccc2ccccc2c1,1,20
COc1ccc2ccccc2c1,1,16
c1ccc(-c2ccccc2)cc1,1,19
Cc1ccc2oc(=O)ccc2c1,1,19
Cc1ccc2ncccc2c1,1,15
Sc1ccc2ccccc2c1,1,15
Cc1ccc2ccccc2c1,1,15
c1ccc2ncccc2c1,1,14
CCC(C)C=O,1,9
Cc1ccc(C)c(O)c1,1,15
Cc1ccc(O)cc1C,1,13
Cc1nc2ccccc2o1,1,14
Cc1cc2ccccc2[nH]1,1,17
c1ccc2scnc2c1,1,13
O=C(OCCc1ccccc1)c1ccccc1,1,24
CC(C)CCOC(=O)c1ccccc1,1,21
CCCCOC(=O)c1ccc(O)cc1,1,21
CCCOC(=O)c1ccc(O)cc1,1,20
CCOC(=O)CC(=O)c1ccccc1,1,22
O=C(Oc1ccccc1)c1ccccc1,1,22
CC(=O)CC(=O)c1ccccc1,1,20
CCOC(=O)c1ccccc1,1,16
COC(=O)c1cccnc1,1,15
COC(=O)c1ccccc1,1,15
CC(C)(C)C1CCC(=O)CC1,1,20
CC(C)(C)C1CCC(O)CC1,1,19
O=Cc1cccs1,1,10
SCc1ccco1,1,9
O=Cc1ccco1,1,10
OCC1CCCO1,1,9
CCC(C=O)CC,1,10
CCC(CC)CO,1,9
CCCCOC(=O)C(C)C,1,15
CC(C)COC(=O)C(C)C,1,17
CCOC(=O)C(C)O,1,13
CCOC(=O)C(C)C,1,13
C=C(C)C1CC=C(C)C(OC(C)=O)C1,1,27
Cn1cccc1,1,8
O=C1CCCO1,1,9
CCC(=O)CC,1,9
SCc1ccccc1,1,10
C=Cc1ccccc1,1,11
COc1ccc(C(=O)O)cc1,1,18
COc1ccc(C(C)=O)cc1,1,18
CC(=O)c1ccc(O)cc1,1,17
CC(C)c1ccc(O)cc1,1,16
Cc1ccc(C(C)C)cc1,1,16
CC1=CC=C(C(C)C)CC1,1,18
CC1=CCC(C(C)C)=CC1,1,18
CC1=CCC(C(C)C)C=C1,1,18
COC(=O)c1ccc(C)cc1,1,18
C=C(C)C1CC=C(C)C(O)C1,1,21
O=C(O)C1CCCCC1,1,14
CC(=O)c1ccccc1,1,14
CC(O)c1ccccc1,1,13
CC(C)(C)c1ccc(O)cc1,1,19
CC(C)(O)CCc1ccccc1,1,18
CCCN(CCC)CCC,1,12
O=C(Cc1ccccc1)OCCc1ccccc1,1,25
CC(C)CCOC(=O)Cc1ccccc1,1,22
COc1ccc(COC(=O)Cc2ccccc2)cc1,1,28
O=C(Cc1ccccc1)Cc1ccccc1,1,23
CCOC(=O)Cc1ccccc1,1,17
c1ccc(Oc2ccccc2)cc1,1,19
c1ccc(Cc2ccccc2)cc1,1,19
c1ccc(CC2OCCO2)cc1,1,18
COC(=O)Cc1ccccc1,1,16
CC(C)(O)Cc1ccccc1,1,17
COc1cccc(C)c1,1,13
CCc1ccccn1,1,10
CSc1ccccc1,1,10
COc1ccccc1,1,10
O=CCCc1ccccc1,1,13
CCCCC1CCC(=O)O1,1,15
CCCc1ccc(OC)cc1,1,15
COc1ccc(COC(C)=O)cc1,1,20
Cc1ccc(OC(=O)C(C)C)cc1,1,22
CC(C)C(=O)OCCCc1ccccc1,1,22
CCCC(=O)OCCc1ccccc1,1,19
c1ccc(COCc2ccccc2)cc1,1,21
CC(C)C(=O)OCCc1ccccc1,1,21
CC(=O)OCCc1ccccc1,1,17
CC(C)CC(=O)OCc1ccccc1,1,21
CCCC(=O)OCc1ccccc1,1,18
CC(C)C(=O)OCc1ccccc1,1,20
COC(=O)CCc1ccccc1,1,17
CCCCC(CC)COC(C)=O,1,17
CC(=O)OC(C)(C)CCc1ccccc1,1,24
CCOC(C)OCC,1,10
CCCC(=O)OCC,1,11
CCOC(=O)CC(=O)OCC,1,17
CCC(C)OC(C)=O,1,13
COC(=O)CC(C)=O,1,14
CCC(C)CC(=O)O,1,13
CCOC(=O)CC,1,10
CCCC1CCC(=O)O1,1,14
COc1ccc(CO)cc1,1,14
CC(C)COC(=O)CCc1ccco1,1,21
COc1ccc(C)cc1,1,13
CCc1ccc(C)nc1,1,13
Cc1ccc(C=O)cc1,1,14
CCCCC(CC)CO,1,11
O=COCCc1ccccc1,1,14
O=COCc1ccccc1,1,13
CCCOC(=O)CC,1,11
CCCCC(=O)CC,1,11
CCCCCCCCCCCC(=O)OCC,1,19
CCCCCCCC(=O)OCC,1,15
CCCCCCC(=O)OCC,1,14
CCCC(=O)OCCC(C)C,1,16
CC(C)=CCCC(C)CCO,1,16
CC(C)CCCC(C)CCO,1,15
CCCOC(=O)CCCCC(=O)OCCC,1,22
C=C(C)CCCC(C)CCOC(=O)CC,1,23
CC(C)=CCCC(C)CCOC=O,1,19
CCCCCC(=O)OCC(C)C,1,17
CCC(=O)OCCC(C)C,1,15
Cc1ccc(O)c(C)c1,1,15
CCCOC(=O)CCC,1,12
O=C1CCCCCN1,1,11
Cc1ccnc(C)c1,1,12
CC1CCC(=O)O1,1,12
C=C(C)OC(C)=O,1,13
CC(=O)OC(C)C,1,12
CC(C)CC(C)O,1,11
CC(=O)CC(C)C,1,12
CCCC(C)=O,1,9
CC(CC=O)CCCC(C)(C)O,1,19
COC=O,1,5
O=CC=O,1,6
C=CCO,1,5
CCCS,1,4
C=CC=O,1,6
CCCCCCC(=O)OC,1,13
CCCCCC(=O)OC,1,12
COC(=O)CCC(=O)OC,1,16
O=C1CCCCCCCCCCCCCCCO1,1,21
CCCCOC(=O)CCC,1,13
CCCCOC(=O)CC(C)C,1,16
Cc1cnccn1,1,9
Cc1ccccn1,1,9
CC1CCCCN1,1,9
Sc1ccccc1,1,9
O=C1CCCCC1,1,10
OC1CCCCC1,1,9
CC(=O)OC(C)CC(C)C,1,17
CC(C)CC(=O)CC(C)C,1,17
CC(C)CC(O)CC(C)C,1,16
CCOC(=O)CC(C)C,1,14
COC(=O)CC(=O)OC,1,15
Cc1cncc(C)n1,1,12
Cc1cccc(C)n1,1,12
CCCCCCCCCCCCCC(=O)OCCCC,1,23
CCCCCCCCCCCCCC(=O)OC(C)C,1,24
CC(=O)OCC(C)C,1,13
c1ccsc1,1,7
c1ccoc1,1,7
c1cc[nH]c1,1,10
CCON=O,1,6
CCOC=O,1,6
CCNCC,1,5
SCCCS,1,5
CCCCS,1,5
CCCCN,1,5
CCCOC(C)=O,1,10
CCCCC(=O)O,1,10
C=CCCC(C)=O,1,11
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,1,28
CCCCCCN,1,7
CCCCCCC(=O)O,1,12
CCCCCCC(C)=O,1,12
CCCCCC#CC(=O)OC,1,15
CCCCCCCC(=O)OC,1,14
C1CCNCC1,1,8
CCSSCC,1,6
CCCOC=O,1,7
CCCCCS,1,6
CCCCC=O,1,7
CCCCCN,1,6
CC(C)CCOC=O,1,11
CCCCCC(C)=O,1,11
CCCCCCCCCC(=O)OC,1,16
CCOC(=O)CCCCCCCCC(=O)OCC,1,24
CCCCCCCCCC(=O)OCC,1,17
CCCCCCCCCCOC(C)=O,1,17
CCCCCCCCOC(C)=O,1,15
CCCCCCCCCC(C)=O,1,15
CCCCCCCOC(C)=O,1,14
CCCCCCCCC(=O)O,1,14
CCCCCCCCS,1,9
C=CCCCCCCCCC(=O)OC,1,18
CCCCCCC#CC(=O)OC,1,16
CCCCCCC=O,1,9
CCCCCCCO,1,8
CCCCCCCCCCCCCCCCCC(=O)OCC,1,25
CC(=O)OCCOC(C)=O,1,16
CCCSCCC,1,7
C=CCOCCO,1,8
CCCCCCS,1,7
CCCCCCO,1,7
CCCCCCCCCCCCCCO,1,15
CCCCCCCCCCCCCO,1,14
CCCCCCCCCCCCOC(C)=O,1,19
CCCCCCCCCCCCCCCCCC(=O)OC,1,24
CCCCCCCCCCCCS,1,13
CCCCCCCCCCCC=O,1,14
CCCCCCCCCCCCO,1,13
C=CCCCCCCCCC=O,1,14
CCCCCCCCCCC=O,1,13
C=CCCCCCCCCCO,1,13
CCCCCCCCCCCCCCCC(=O)OC,1,22
CCCCCCCCCCC(=O)O,1,16
CCCCCCCCOC=O,1,12
CCCCCCCCCC=O,1,12
CCCCCCCCCCO,1,11
CCCCCCCOC=O,1,11
O=Cc1ccc2c(c1)OCO2,1,18
COc1ccc(C=O)cc1OC,1,17
c1ccc2cnccc2c1,1,14
O=C(c1ccccc1)C(O)c1ccccc1,1,25
CC(=O)c1ccccc1O,1,15
Cc1occc(=O)c1O,1,14
CCOC(=O)c1ccccc1O,1,17
O=C(OCc1ccccc1)c1ccccc1O,1,24
O=C(Oc1ccccc1)c1ccccc1O,1,23
CC(=O)OC1C=C(C)C2CC(=C(C)C)CC2C(C)C1,1,36
CCC(C)C(=O)O,1,12
CC(=O)CO,1,8
CC1CC(O)CC(C)(C)C1,1,18
C=CC(C)(CCC=C(C)C)OC(C)=O,1,25
C=CC(C)(C)O,1,11
CCCCCCCCCCCCCCCCCCCC,1,20
CC(C)=CCCC(C)CCOC(=O)Cc1ccccc1,1,30
CCC(=O)OCC(COC(=O)CC)OC(=O)CC,1,29
C=C(C)C1CCC(C)(O)CC1,1,20
CCCCOC(=O)C(C)O,1,15
CCC(C)CO,1,8
Cc1ccccc1S,1,10
CCCCOC(=O)c1ccccc1,1,18
COc1ccccc1C=O,1,13
COc1cc(C=O)cc(OC)c1O,1,20
COC(=O)c1ccccc1N,1,16
CC(=O)c1ccc(C)cc1,1,17
COC(=O)c1ccc(OC)cc1,1,19
CCN(CC)CC,1,9
COc1cc(C(=O)O)ccc1O,1,19
CCOc1cc(C=O)ccc1O,1,17
O=C1CCCC1,1,9
CCCCCC(=O)O,1,11
C=CCOC(=O)CCCCCC,1,16
CCOC(=O)CC(C)=O,1,15
COC(CC(C)CCCC(C)(C)O)OC,1,23
CC(=O)C=C(C)C,1,13
CCOC(C)=O,1,9
CCCC(=O)OCCC(C)CCC=C(C)C,1,24
CCC(=O)OCCC(C)CCC=C(C)C,1,23
C=C(C)CCCC(C)CCOC(C)=O,1,22
C=CC(=O)OCC,1,11
C=CCc1ccc(OC)cc1,1,16
CC(=O)Oc1ccc(C)cc1,1,18
CC(C)CC(=O)OCCc1ccccc1,1,22
CCCCCCCCCCCC(=O)OCc1ccccc1,1,26
CC(=O)OCc1ccccc1,1,16
O=Cc1ccc(O)c(O)c1,1,17
CC(=O)c1cccnc1,1,14
CC(=O)OCc1ccc2c(c1)OCO2,1,23
c1cnccn1,1,8
c1cscn1,1,7
CCC(C)CCC(C)(O)CC,1,17
COc1cccc(OC)c1,1,14
CC(=O)OC(C)(C)Cc1ccccc1,1,23
CC(=O)OCCC(C)CCC=C(C)C,1,22
COc1ccc(OC)cc1,1,14
COc1ccc(O)cc1,1,13
c1ccc(CSSCc2ccccc2)cc1,1,22
COc1cccc(O)c1,1,13
CCCCCCCCCOC(C)=O,1,16
CCCCCCCCCO,1,10
CCCCOCCCC,1,9
CCCCCCOC(C)=O,1,13
CCCCCCCCCCCCCCC1CCC(=O)O1,1,25
OCCc1ccc(O)cc1,1,14
Cc1ccc(C(C)C)cc1O,1,17
CC1CCC(C(C)C)CC1=O,1,18
CC1CCC(C(C)(C)O)CC1,1,19
O=C1C=CCO1,1,10
OCc1ccc2c(c1)OCO2,1,17
CCCC(=O)c1ccccc1,1,16
Cc1ccnc2ccccc12,1,15
CC1=CC(O)C(C(C)C)CC1,1,20
C=CCc1cc(OC)c(OC)c(OC)c1,1,24
CC1=CC2C(=C(C)CCC2C(C)C)CC1,1,27
CC(C)C12CCC(C)(CC1)O2,1,21
CC1=C(C=O)C(C)(C)CCC1,1,21
CC(=O)CCC=C(C)C,1,15
CCSCC,1,5
CC(=O)Oc1ccccc1C,1,16
Cc1ccccc1C=O,1,12
Cc1cc(C)c(O)c(C)c1,1,18
Cc1cccc(O)c1C,1,13
C=CCc1cc(OC)c2c(c1OC)OCO2,1,25
CC1(C)C2CC=C(CO)C1C2,1,20
CCC(C)S,1,7
CC(C)CS,1,7
CC(=O)S,1,7
CCCC=CC=O,1,9
C=CC(C)(O)CCCC(C)CCCC(C)CCCC(C)C,1,32
C1CSCCS1,1,8
CSCCCO,1,6
CC(C)CC(=O)O,1,12
CC(=O)CCCC(C)CCCC(C)CCCC(C)C,1,28
CC(C)=CCCC(C)CC(=O)O,1,20
Cc1csc(C)n1,1,11
CC(C)=CC(=O)O,1,13
CC(C)CCS,1,8
SCCS,1,4
CCC(=O)OCC(C)C,1,14
CCCCCOC(=O)CCCCC,1,16
CCCC(=O)OCC(C)C,1,15
CCOC(=O)CCC(C)=O,1,16
CCCCC(=O)OCC,1,12
CCOCc1ccccc1,1,12
COCc1ccccc1,1,11
CCc1cccnc1,1,10
C=C(C)C1CC=C(CO)CC1,1,19
Cc1ccc(C(C)O)cc1,1,16
Cc1ccco1,1,8
COC(C)OC,1,8
CCCOC(=O)CC(C)C,1,15
CC(C)=CCO,1,9
CN=C=S,1,6
COC(=O)CC(C)C,1,13
Cc1cccs1,1,8
CCC(=O)OC,1,9
CC(=O)c1ccccc1N,1,15
COC(=O)C(C)C,1,12
CC1C(=O)CC2CC1C2(C)C,1,20
CCCCCCCCCCCCCC(=O)O,1,19
CCCCSCCCC,1,9
CCCCCC(C)O,1,10
C=CC(=C)CCCC(C)(C)O,1,19
CCN=C=S,1,7
CC(C)COC=O,1,10
CC1CCCCCCCCCCCCC(=O)C1,1,22
CCCC(=O)CC,1,10
CCC(C)CCO,1,9
Cc1ccc(CO)cc1,1,13
CC(C)C1=CCC(C)(O)CC1,1,20
CC1=CCC(=C(C)C)CC1,1,18
CCCCCC(=O)C(C)=O,1,16
CCC(O)CC,1,8
CC1CCCCC1=O,1,11
CCCCOC(=O)c1ccco1,1,17
C=CCOC(=O)c1ccccc1,1,18
CC(=O)C(=O)c1ccccc1,1,19
CC(=O)c1ccccc1C,1,15
Cc1cccc(C)c1O,1,13
CCC(=O)C(C)C,1,12
CC(=O)C(C)C,1,11
CC1=CCC(O)(C(C)C)CC1,1,20
CC(=O)COC(C)=O,1,14
CCCCC(C)=O,1,10
CC(=O)CCC(=O)O,1,14
CCCCOC(=O)CC(C)=O,1,17
COc1cccc(C=O)c1,1,15
CC1CCCC(=O)C1,1,13
CC1=CCC(=O)O1,1,13
CC(C)CC=O,1,9
CCCC(C)(C)O,1,11
CCCCOC(=O)CC,1,12
CCCCCC(O)CC,1,11
CC1CCC(=O)CC1,1,13
CCCCC(O)CC,1,10
CCCCCCCC(=O)OCCCC,1,17
CC(C)COC(=O)CC(C)C,1,18
CCCC(O)CCC,1,10
CC(C)(O)c1ccccc1,1,16
CC(C)OC(=O)C(C)C,1,16
CCOC(=O)C(C)=O,1,14
CCOC(=O)c1ccc(O)c(OC)c1,1,23
C=CC(O)CC,1,9
CSc1nc2ccccc2s1,1,15
CCCOC(=O)c1ccco1,1,16
CCOC(=O)c1ccco1,1,15
COC(=O)c1ccco1,1,14
CC(C)OC(=O)c1ccccc1O,1,20
CCC(=O)C(C)=O,1,13
CC(C)C(C)O,1,10
CCCCCCCCCCCC(C)=O,1,17
C=CCSCC=C,1,9
CCCCOC=O,1,8
CCCCN=C=S,1,9
CSSC,1,4
CCSC,1,4
CCCCCOC(=O)CC,1,13
CCCCCCC(O)CC,1,12
CCC(C)COC(C)=O,1,14
CCCCC(=O)OC,1,11
CC(=O)OCC(C)OC(C)=O,1,19
CCCC(=O)OC,1,10
CCCC(O)CC,1,9
CC(=O)OCc1ccco1,1,15
CCOc1ccc(O)cc1,1,14
CC(=O)OC1CCCCC1,1,15
Cc1cccc(C=O)c1,1,14
CCc1cccc(O)c1,1,13
Cc1ccc(C=O)o1,1,13
C=C(C)C1CCC(C)C(O)C1,1,20
CCCSSCCC,1,8
CCCCCCCC(C)O,1,12
CCCCCCCCCCCCCCCC(=O)OCC,1,23
CCCCCOC(C)=O,1,12
CC(C)CCCC(=O)O,1,14
CCCCSC,1,6
COC(=O)CCCCC(=O)OC,1,18
CCCCCCCCCCC(=O)OCC,1,18
CCCCC(C)O,1,9
CC(C)CCCO,1,9
CCCCCC(=O)OCCCC,1,15
CCCCCC(=O)OCCC,1,14
CCCC(C)OC(C)=O,1,14
Cc1ccc(C)o1,1,11
CC(C)SC(C)C,1,11
CC(C)OC=O,1,9
CCCCCCCCCCCCCCCCCC(=O)OCC(C)C,1,29
CC(C)CCC(=O)O,1,13
CCCc1ccc(O)cc1,1,14
CC(=O)c1ccc(C(C)C)cc1,1,21
CCCOC(=O)C(C)C,1,14
CCCc1ccccc1O,1,12
Cc1ccc(-c2ccccc2)cc1,1,20
CCCCCCCCCCCCC(=O)O,1,18
CCCCCOC=O,1,9
CC1NC(C)SC(C)S1,1,15
Cc1ccc(C)s1,1,11
CCC(=O)OC(C)C,1,13
C=Cc1ccc(OC)cc1,1,15
CC(=O)OCC1CCCO1,1,15
CCCCCCCCCCCCCCC,1,15
CCCCSSCCCC,1,10
CC1(C)SC(C)(C)SC(C)(C)S1,1,24
CC1CCCC(=O)O1,1,13
CCCCCCCC(C)=O,1,13
CSCc1ccccc1,1,11
C=C(C)CCO,1,9
CCCCCCCC1CCCC(=O)O1,1,19
CCCCCCC1CCC(=O)O1,1,17
CCCCCC1CCCC(=O)O1,1,17
CC(=O)CCc1ccco1,1,15
CSSCc1ccccc1,1,12
CCCC1CCCC(=O)O1,1,15
CCC1CCC(=O)O1,1,13
Cc1cscn1,1,8
CCCCCCCCC(C)=O,1,14
C=CCCCCCCCCC(=O)OCC,1,19
CC(C)CCOC(=O)CC(C)C,1,19
C=CC(=C)CCCC(C)(C)OC(C)=O,1,25
C=CC(OC(=O)CC(C)C)C(C)CC=C(C)C,1,30
CCCCCCCC(=O)OCCCCCC,1,19
COc1cc(C)ccc1C(C)C,1,18
CC(=O)c1ccc[nH]1,1,16
O=Cc1ccc[nH]1,1,13
O=C1CCCS1,1,9
CCCCCCCCCCCCCCC(=O)O,1,20
CC(=O)c1cccc2ccccc12,1,20
CC(C)OC(=O)c1ccccc1,1,19
CCc1ccc(C(C)=O)cc1,1,18
O=C1C=CCCC1,1,11
CCCCCCCC(=O)CC,1,14
c1ccc(SSc2ccccc2)cc1,1,20
C=CCS,1,5
CCC(C)C(=O)OC,1,13
CC(=O)c1cc(C)ccc1O,1,18
c1coc(Cn2cccc2)c1,1,17
C=C1CCC2CC1C2(C)C,1,17
Cc1ccc(C(C)(C)O)cc1,1,19
CC(=O)c1ccc(C)o1,1,16
CC1=CC(=O)CCC1,1,14
CC(=O)c1ccco1,1,13
SCCCCCCCCS,1,10
SCCCCCCS,1,8
CC(=O)OCC=C(C)C,1,15
CCCCCC(C)C(=O)O,1,15
C=C1CCC2OC2(C)CCC2C1CC2(C)C,1,27
COc1ccc(C(C)=O)cc1OC,1,20
Cc1nc(C)c(C)nc1C,1,16
CC(CO)c1ccccc1,1,14
CC(=O)c1ccccn1,1,14
C=CCOC(=O)Cc1ccccc1,1,19
CC(C)=CC(=O)OC(C)C,1,18
CCCCCCCCCCC(=O)OC,1,17
CCCCCCCCC(=O)OC,1,15
CCCCCCCCCCCOC(C)=O,1,18
SC1CCCC1,1,8
CCCCCCCCCC(C)O,1,14
CCCCCCCS,1,8
COC(C)(C)C,1,10
C=CC(=O)CCC,1,11
C=CC(=O)CC,1,10
CSCSC,1,5
CCCCCC1OCC(C)O1,1,15
SC1CCCCC1,1,9
CCC(C)CCC(=O)O,1,14
COC(=O)CC(C)O,1,13
CCCCCCCOC(=O)CC,1,15
CCCCCC(=O)OCCC(C)C,1,18
CCCSSC,1,6
C=CCSSCCC,1,9
C=CCSSCC=C,1,10
CC(C)COc1ccc2ccccc2c1,1,21
CC1=CCC(C(C)(C)OC=O)CC1,1,23
C=C(C)C1CC=C(C=O)CC1,1,20
C=CCCC=O,1,8
CCCCOC(=O)CCC(C)=O,1,18
C=CCOC(=O)CCC,1,13
C=CCSSSCC=C,1,11
CCCCCOC(=O)c1ccccc1O,1,20
CCCCCOC(=O)c1ccccc1,1,19
CCCCCCCC(=O)OCCC(C)C,1,20
CCOC(=O)CCc1ccccc1,1,18
CCC(C)COC(=O)C(C)CC,1,19
C=CC(CCCCC)OC(C)=O,1,18
CC1=CCC(C(C)(C)O)CC1,1,20
COC(=O)CCC(C)C,1,14
CC1CCCC(C)(C)C1=O,1,17
CCC1C=CC(=O)O1,1,14
Cc1nc2ccccc2nc1C,1,16
CCCCCC=CC=CC=O,1,14
CCCCCCOC(=O)C(C)C,1,17
CC1=NCCS1,1,9
CCCOC(=O)c1ccccc1,1,17
CCCCCCCCCC(=O)OC(C)C,1,20
CCCCCC(=O)OC(C)C,1,16
CCCCCCCCC1CCC(=O)O1,1,19
CCCCCc1ccccn1,1,13
S=C=NCCc1ccccc1,1,15
COc1cnccn1,1,10
CC(C)C(C)C(C)(C)O,1,17
CSS(C)(=O)=O,1,12
COc1nccnc1C,1,11
C=CCOC(=O)CC(C)C,1,16
CCCc1ccc(O)c(OC)c1,1,18
CC1SC(C)SC(C)S1,1,15
